start_date,standard_surcharge,express_within_EU,express_outside_EU
23/03/2020,12.00%,13.25%,13.25%
30/03/2020,11.50%,11.00%,11.00%
06/04/2020,11.00%,10.50%,10.50%
13/04/2020,10.75%,10.50%,10.50%
20/04/2020,10.75%,10.75%,10.75%
27/04/2020,10.75%,10.00%,10.00%
04/05/2020,10.50%,8.75%,8.75%
11/05/2020,10.00%,8.50%,8.50%
18/05/2020,10.00%,9.00%,9.00%
25/05/2020,9.75%,10.00%,10.00%
01/06/2020,9.75%,10.00%,10.00%
08/06/2020,10.00%,11.25%,11.25%
15/06/2020,10.00%,12.00%,12.00%
22/06/2020,10.25%,12.50%,12.50%
29/06/2020,10.25%,13.25%,13.25%
06/07/2020,10.50%,13.00%,13.00%
13/07/2020,10.50%,13.00%,13.00%
20/07/2020,10.50%,13.50%,13.50%
27/07/2020,10.75%,13.50%,13.50%
03/08/2020,10.50%,13.75%,13.75%
10/08/2020,10.75%,13.75%,13.75%
17/08/2020,10.50%,13.75%,13.75%
24/08/2020,10.50%,13.75%,13.75%
31/08/2020,10.50%,13.75%,13.75%
07/09/2020,10.50%,14.00%,14.00%
14/09/2020,10.50%,14.00%,14.00%
21/09/2020,10.00%,12.75%,12.75%
28/09/2020,10.25%,13.00%,13.00%
05/10/2020,10.25%,12.75%,12.75%
12/10/2020,10.25%,13.00%,13.00%
19/10/2020,10.25%,13.00%,13.00%
26/10/2020,10.25%,13.50%,13.50%
02/11/2020,10.25%,13.50%,13.50%
09/11/2020,10.25%,13.00%,13.00%
16/11/2020,10.00%,13.00%,13.00%
23/11/2020,10.00%,14.00%,14.00%
30/11/2020,10.25%,14.00%,14.00%
07/12/2020,10.25%,14.75%,14.75%
14/12/2020,10.50%,15.00%,15.00%
21/12/2020,10.50%,15.50%,15.50%
28/12/2020,10.75%,15.50%,15.50%
04/01/2021,10.75%,16.00%,16.00%
11/01/2021,10.75%,15.75%,15.75%
18/01/2021,10.75%,16.00%,16.00%
25/01/2021,11.50%,16.00%,16.00%
01/02/2021,11.50%,16.50%,16.50%
08/02/2021,11.75%,16.50%,16.50%
15/02/2021,11.75%,17.00%,17.00%
22/02/2021,11.75%,17.00%,17.00%
01/03/2021,12.00%,18.25%,18.25%
08/03/2021,12.25%,18.75%,18.75%
15/03/2021,12.50%,18.75%,18.75%
22/03/2021,12.50%,19.00%,19.00%
29/03/2021,12.75%,18.50%,18.50%
05/04/2021,12.75%,18.00%,18.00%
12/04/2021,12.50%,18.00%,18.00%
19/04/2021,12.50%,18.25%,18.25%
26/04/2021,12.50%,18.50%,18.50%
03/05/2021,12.50%,18.50%,18.50%
10/05/2021,12.50%,18.75%,18.75%
17/05/2021,12.75%,19.25%,19.25%
24/05/2021,12.75%,19.25%,19.25%
31/05/2021,12.75%,19.00%,19.00%
